,Actual Label,Prev Pseudo Label,Curr Pseudo Labels,Refined Pseudo Labels
379,6.0,64,64,64
380,6.0,6,6,6
381,6.0,6,64,6
382,6.0,5,5,5
383,6.0,5,5,5
384,6.0,60,60,60
385,6.0,42,42,42
386,6.0,5,5,5
387,6.0,64,64,64
388,6.0,63,63,63
389,6.0,6,6,6
390,6.0,6,6,6
391,6.0,64,64,64
392,6.0,6,6,6
393,6.0,64,64,64
394,6.0,6,6,6
395,6.0,5,5,5
396,6.0,4,4,4
397,6.0,6,6,6
398,6.0,33,33,33
399,6.0,64,64,64
400,6.0,12,12,12
401,6.0,6,6,6
402,6.0,6,6,6
403,6.0,45,14,64
404,6.0,6,6,6
405,6.0,6,6,6
406,6.0,5,5,5
407,6.0,6,6,6
408,6.0,64,64,64
409,6.0,6,6,6
410,6.0,64,64,64
411,6.0,6,6,6
412,6.0,64,64,64
413,6.0,6,6,6
414,6.0,6,6,6
415,6.0,6,5,6
416,6.0,6,6,6
417,6.0,64,64,64
418,6.0,45,45,31
419,6.0,45,45,45
420,6.0,6,6,6
421,7.0,1,1,1
422,7.0,19,7,7
423,7.0,52,10,52
424,7.0,7,7,7
425,7.0,3,3,3
426,7.0,1,1,1
427,7.0,58,58,58
428,7.0,32,18,32
429,7.0,7,7,7
430,7.0,54,54,54
431,7.0,58,58,58
432,7.0,44,44,44
433,7.0,34,23,38
434,7.0,25,25,25
435,7.0,6,6,6
436,7.0,44,44,44
437,7.0,38,38,38
438,7.0,1,1,1
439,7.0,7,7,7
440,7.0,7,7,7
441,7.0,38,38,38
442,7.0,7,7,7
443,7.0,26,26,26
444,7.0,63,31,63
445,7.0,45,45,45
446,7.0,5,5,5
447,7.0,7,7,7
448,7.0,32,32,32
449,7.0,28,28,28
450,7.0,51,51,51
451,7.0,47,47,47
452,7.0,57,57,57
453,7.0,13,13,13
454,7.0,47,47,47
455,7.0,50,50,50
456,7.0,40,40,40
457,7.0,7,7,7
458,7.0,18,15,18
459,7.0,58,58,58
460,7.0,39,39,1
461,7.0,37,37,37
462,7.0,26,26,26
463,7.0,38,22,38
464,7.0,44,44,44
465,7.0,7,7,7
466,7.0,51,51,51
467,7.0,46,46,46
468,7.0,57,57,57
469,7.0,25,25,25
470,7.0,7,1,7
471,7.0,44,44,44
472,7.0,20,20,20
473,7.0,5,5,5
474,7.0,7,7,7
475,7.0,34,34,34
476,7.0,7,7,7
477,7.0,7,7,7
478,7.0,38,22,38
479,7.0,30,30,30
480,7.0,7,7,7
481,7.0,7,7,7
482,7.0,7,7,7
483,7.0,36,7,36
484,7.0,7,7,7
485,7.0,7,7,7
486,7.0,27,27,27
487,7.0,41,17,41
488,7.0,13,13,13
489,7.0,7,7,7
490,7.0,7,7,7
491,7.0,49,49,49
492,7.0,7,7,7
493,7.0,7,7,7
494,7.0,7,7,7
495,7.0,7,7,7
496,7.0,15,15,15
497,7.0,20,20,20
498,7.0,20,20,20
499,7.0,44,44,44
500,7.0,7,7,7
501,7.0,3,3,3
502,7.0,47,47,47
503,7.0,32,20,32
504,7.0,18,15,18
505,7.0,25,25,7
506,7.0,46,46,46
507,7.0,7,7,7
508,7.0,26,26,26
509,7.0,40,40,40
510,7.0,50,25,25
511,7.0,35,25,25
512,7.0,54,1,59
513,7.0,50,50,38
514,7.0,25,25,25
515,7.0,53,53,53
516,7.0,40,40,40
517,7.0,55,55,55
518,7.0,0,0,0
519,7.0,51,51,51
520,8.0,8,8,8
521,8.0,47,47,47
522,8.0,16,58,16
523,8.0,1,1,1
524,8.0,8,8,8
525,8.0,23,23,23
526,8.0,62,62,62
527,8.0,36,36,36
528,8.0,8,8,8
529,8.0,2,2,2
530,8.0,37,37,37
531,8.0,42,64,64
532,8.0,16,16,16
533,8.0,60,60,60
534,8.0,8,8,8
535,8.0,16,23,16
536,8.0,60,60,60
537,8.0,0,0,0
538,8.0,37,37,37
539,8.0,16,16,16
540,8.0,37,37,37
541,8.0,16,2,2
542,8.0,60,60,60
543,8.0,52,52,58
544,8.0,58,7,58
545,8.0,47,47,47
546,8.0,60,60,60
547,8.0,16,16,16
548,8.0,45,20,20
549,8.0,60,60,60
550,8.0,13,13,13
551,8.0,60,60,60
552,8.0,8,8,8
553,8.0,25,30,25
554,8.0,8,8,8
555,8.0,16,16,16
556,8.0,8,8,8
557,8.0,8,8,8
558,8.0,8,8,8
559,8.0,16,16,16
560,8.0,24,0,24
561,8.0,55,35,55
562,9.0,9,9,9
563,9.0,9,9,9
564,9.0,9,9,9
565,9.0,9,9,9
566,9.0,9,9,9
567,9.0,9,9,9
568,9.0,9,9,9
569,9.0,9,9,9
570,9.0,28,28,28
571,9.0,9,9,9
572,9.0,9,9,9
573,9.0,9,9,9
574,9.0,9,9,9
575,9.0,9,9,9
576,9.0,9,9,9
577,9.0,9,9,9
578,9.0,9,9,9
579,9.0,9,9,9
580,9.0,9,9,9
581,9.0,9,9,9
582,9.0,9,9,9
583,9.0,9,9,9
584,9.0,9,9,9
585,9.0,28,28,28
586,9.0,9,9,9
587,9.0,9,9,9
588,9.0,9,9,9
589,9.0,9,9,9
590,9.0,9,9,9
591,9.0,9,9,9
592,9.0,9,9,9
593,9.0,9,9,9
594,9.0,9,9,9
595,9.0,9,9,9
596,9.0,9,9,9
597,9.0,9,9,9
598,9.0,9,9,9
599,9.0,9,9,9
600,9.0,9,9,9
601,9.0,9,9,9
602,9.0,9,9,9
603,9.0,9,9,9
604,9.0,9,9,9
605,9.0,9,9,9
606,9.0,9,9,9
607,9.0,9,9,9
608,9.0,9,9,9
609,9.0,9,9,9
610,9.0,9,9,9
611,9.0,9,9,9
612,9.0,9,9,9
613,9.0,9,9,9
614,9.0,49,49,9
615,9.0,9,9,9
616,9.0,9,9,9
617,9.0,9,9,9
618,9.0,9,9,9
619,9.0,28,28,28
620,9.0,9,9,9
621,9.0,9,9,9
622,9.0,9,9,9
623,9.0,9,9,9
624,9.0,9,9,9
625,9.0,9,9,9
626,9.0,9,9,9
627,9.0,9,9,9
628,9.0,9,9,9
629,9.0,9,9,9
630,9.0,9,9,9
631,9.0,9,9,9
632,9.0,9,9,9
633,9.0,9,9,9
634,9.0,9,9,9
635,9.0,9,9,9
636,9.0,9,9,9
637,9.0,49,49,49
638,9.0,9,9,9
639,9.0,4,4,4
640,9.0,9,9,9
641,9.0,9,9,9
642,9.0,12,12,12
643,9.0,9,9,9
644,9.0,28,54,28
645,9.0,9,9,9
646,9.0,9,9,9
647,9.0,9,9,9
648,9.0,28,4,28
649,9.0,9,9,9
650,9.0,9,9,9
651,9.0,9,9,9
652,9.0,9,9,9
653,9.0,9,9,9
654,9.0,9,9,9
655,9.0,9,9,9
656,9.0,9,9,9
657,9.0,9,9,9
658,9.0,49,49,49
659,9.0,9,9,9
660,9.0,9,9,9
661,10.0,10,10,10
662,10.0,10,10,10
663,10.0,10,10,10
664,10.0,10,10,10
665,10.0,10,10,10
666,10.0,10,10,10
667,10.0,10,10,10
668,10.0,10,10,10
669,10.0,10,10,10
670,10.0,10,10,10
671,10.0,10,10,10
672,10.0,10,10,10
673,10.0,10,10,10
674,10.0,10,10,10
675,10.0,10,10,10
676,10.0,25,25,25
677,10.0,10,10,10
678,10.0,10,10,10
679,10.0,10,10,10
680,10.0,10,10,10
681,10.0,10,10,10
682,10.0,10,10,10
683,10.0,10,10,10
684,10.0,10,10,10
685,10.0,32,32,32
686,10.0,10,10,10
687,10.0,10,10,10
688,10.0,10,10,10
689,10.0,10,10,10
690,10.0,10,10,10
691,10.0,10,10,10
692,10.0,10,10,10
693,10.0,10,10,10
694,10.0,10,10,10
695,10.0,10,10,10
696,10.0,10,10,10
697,10.0,10,10,10
698,10.0,10,10,10
699,10.0,10,10,10
700,10.0,47,47,47
701,11.0,43,43,43
702,11.0,1,1,1
703,11.0,3,3,3
704,11.0,54,54,54
705,11.0,50,50,50
706,11.0,11,63,63
707,11.0,56,56,56
708,11.0,60,63,62
709,11.0,63,63,63
710,11.0,16,16,16
711,11.0,11,11,11
712,11.0,11,11,11
713,11.0,11,11,11
714,11.0,11,11,11
715,11.0,11,11,11
716,11.0,11,11,11
717,11.0,43,43,43
718,11.0,60,60,60
719,11.0,11,11,11
720,11.0,43,18,18
721,11.0,11,31,31
722,11.0,1,1,1
723,11.0,43,12,12
724,11.0,11,11,11
725,11.0,1,1,1
726,11.0,63,63,63
727,11.0,56,56,56
728,11.0,1,1,1
729,11.0,1,1,1
730,11.0,31,31,31
731,11.0,47,47,47
732,11.0,11,11,11
733,11.0,31,31,31
734,11.0,54,54,54
735,11.0,31,31,31
736,11.0,1,1,1
737,11.0,1,1,1
738,11.0,1,1,1
739,11.0,11,11,11
740,11.0,1,1,1
741,11.0,60,54,54
742,11.0,11,11,11
743,11.0,11,11,28
744,11.0,63,63,63
745,11.0,1,1,1
746,11.0,63,63,63
747,11.0,8,8,8
748,11.0,54,54,54
749,11.0,31,31,31
750,11.0,11,11,11
751,11.0,54,54,54
752,11.0,11,11,11
753,11.0,1,1,1
754,11.0,32,32,32
755,11.0,28,54,28
756,11.0,54,54,54
757,11.0,28,28,28
758,11.0,11,11,11
759,11.0,28,28,28
760,11.0,54,31,54
761,11.0,1,1,1
762,11.0,1,1,1
763,11.0,20,20,20
764,11.0,44,44,44
765,11.0,33,33,33
766,11.0,28,28,28
767,11.0,63,54,63
768,11.0,11,37,37
769,11.0,51,51,51
770,11.0,43,18,43
771,11.0,28,28,28
772,11.0,3,3,3
773,11.0,1,1,1
774,11.0,11,63,63
775,11.0,11,11,11
776,11.0,11,11,11
777,11.0,3,3,3
778,11.0,3,59,59
779,11.0,40,40,40
780,11.0,43,43,43
781,11.0,47,47,47
782,11.0,47,47,47
783,11.0,43,43,43
784,11.0,43,43,43
785,11.0,32,32,32
786,11.0,44,44,44
787,11.0,1,1,1
788,11.0,11,11,11
789,11.0,28,28,28
790,11.0,47,47,47
791,11.0,56,56,56
792,11.0,1,1,1
793,11.0,43,43,43
794,11.0,13,13,15
795,11.0,3,26,26
796,11.0,11,11,11
797,11.0,11,11,11
798,11.0,3,51,51
799,11.0,11,11,11
800,12.0,12,12,12
801,12.0,12,12,12
802,12.0,12,12,12
803,12.0,12,12,12
804,12.0,4,4,4
805,12.0,12,12,12
806,12.0,12,12,12
807,12.0,12,12,12
808,12.0,12,12,12
809,12.0,12,12,12
810,12.0,12,12,12
811,12.0,12,12,12
812,12.0,12,12,12
813,12.0,12,12,12
814,12.0,4,4,4
815,12.0,12,12,12
816,12.0,28,4,4
817,12.0,4,4,4
818,12.0,12,12,12
819,12.0,12,12,12
820,12.0,12,12,12
821,12.0,12,12,12
822,12.0,12,12,12
823,12.0,12,12,12
824,12.0,12,12,12
825,12.0,12,12,12
826,12.0,12,12,12
827,12.0,12,12,12
828,12.0,12,12,12
829,12.0,12,12,12
830,12.0,9,9,9
831,12.0,12,12,12
832,12.0,12,12,12
833,12.0,4,4,4
834,12.0,12,12,12
835,12.0,44,44,44
836,12.0,12,12,12
837,12.0,12,12,12
838,12.0,12,12,12
839,12.0,12,12,12
840,12.0,49,49,49
841,12.0,12,12,12
842,12.0,9,9,9
843,12.0,12,12,12
844,12.0,9,9,9
845,12.0,12,12,12
846,12.0,12,12,12
847,12.0,9,9,9
848,12.0,43,43,43
849,12.0,12,12,12
850,12.0,12,12,12
851,12.0,12,12,12
852,12.0,12,12,12
853,12.0,12,12,12
854,12.0,4,4,4
855,12.0,12,12,12
856,12.0,1,1,1
857,12.0,4,4,4
858,12.0,12,12,12
859,12.0,12,12,12
860,12.0,12,12,12
861,12.0,12,12,12
862,12.0,12,12,12
863,12.0,31,31,31
864,12.0,12,12,12
865,12.0,12,12,12
866,12.0,9,9,9
867,12.0,12,12,12
868,12.0,12,12,12
869,12.0,12,12,12
870,12.0,28,4,28
871,12.0,12,12,12
872,12.0,12,12,12
873,12.0,12,12,12
874,12.0,12,12,12
875,12.0,12,12,12
876,12.0,12,12,12
877,12.0,12,12,12
878,12.0,12,12,12
879,12.0,12,12,12
880,12.0,12,12,12
881,12.0,12,12,12
882,12.0,12,12,12
883,12.0,12,12,12
884,12.0,12,12,12
885,12.0,9,9,4
886,12.0,12,12,12
887,12.0,4,4,4
888,12.0,28,28,28
889,12.0,12,12,12
890,12.0,9,9,9
891,12.0,12,12,12
892,12.0,9,9,9
893,12.0,6,12,6
894,12.0,12,12,12
895,12.0,12,12,12
896,12.0,12,12,12
897,12.0,4,4,4
898,12.0,12,12,12
899,13.0,13,13,13
900,13.0,13,13,13
901,13.0,13,13,13
902,13.0,55,13,13
903,13.0,3,3,3
904,13.0,3,3,3
905,13.0,13,13,13
906,13.0,3,3,3
907,13.0,13,13,13
908,13.0,13,13,13
909,13.0,13,13,13
910,13.0,13,13,13
911,13.0,13,13,13
912,13.0,13,13,13
913,13.0,13,13,13
914,13.0,13,13,13
915,13.0,13,13,13
916,13.0,3,3,3
917,13.0,13,13,13
918,13.0,13,13,13
919,13.0,3,3,3
920,13.0,55,55,55
921,13.0,13,13,13
922,13.0,13,13,13
923,13.0,13,13,13
924,13.0,13,13,13
925,13.0,3,3,3
926,13.0,13,13,13
927,13.0,13,13,13
928,13.0,13,13,13
929,13.0,13,13,13
930,13.0,13,13,13
931,13.0,13,13,13
932,13.0,13,13,13
933,13.0,13,13,13
934,13.0,13,13,13
935,13.0,13,13,13
936,13.0,13,13,13
937,13.0,13,13,13
938,13.0,3,3,3
939,14.0,45,45,45
940,14.0,45,45,45
941,14.0,45,45,45
942,14.0,45,45,45
943,14.0,45,27,45
944,14.0,43,43,43
945,14.0,27,27,27
946,14.0,45,45,45
947,14.0,45,45,45
948,14.0,35,35,35
949,14.0,35,35,35
950,14.0,61,61,61
951,14.0,45,45,45
952,14.0,45,45,45
953,14.0,1,1,1
954,14.0,45,45,45
955,14.0,27,27,27
956,14.0,45,45,45
957,14.0,45,14,64
958,14.0,45,45,45
959,14.0,45,45,45
960,14.0,45,45,45
961,14.0,45,45,45
962,14.0,45,45,45
963,14.0,32,32,32
964,14.0,45,53,53
965,14.0,45,45,45
966,14.0,27,27,27
967,14.0,45,45,45
968,14.0,45,14,27
969,14.0,27,27,27
970,14.0,27,27,27
971,14.0,51,51,51
972,14.0,27,27,27
973,14.0,32,32,32
974,14.0,32,32,32
975,14.0,27,27,27
976,14.0,45,45,45
977,14.0,45,27,45
978,14.0,45,45,45
979,14.0,45,45,45
980,14.0,45,45,45
981,14.0,2,36,2
982,14.0,45,45,45
983,14.0,41,41,41
984,14.0,45,45,45
985,14.0,45,45,45
986,14.0,42,45,42
987,14.0,35,35,35
988,14.0,57,57,57
989,14.0,45,45,45
990,14.0,16,27,16
991,14.0,45,45,45
992,14.0,45,45,45
993,14.0,45,45,45
994,14.0,58,58,58
995,14.0,57,57,57
996,14.0,45,45,45
997,14.0,20,20,20
998,14.0,3,3,13
999,14.0,36,14,36
1000,14.0,20,20,20
1001,14.0,45,45,45
1002,14.0,45,45,45
1003,14.0,11,54,11
1004,14.0,27,27,27
1005,14.0,45,45,45
1006,14.0,45,45,45
1007,14.0,27,27,27
1008,14.0,11,26,11
1009,14.0,45,45,45
1010,14.0,45,45,45
1011,14.0,45,45,45
1012,14.0,41,27,41
1013,14.0,41,45,41
1014,14.0,47,47,47
1015,14.0,45,45,45
1016,14.0,27,27,27
1017,14.0,45,45,45
1018,14.0,45,45,45
1019,14.0,27,27,27
1020,14.0,45,45,45
1021,14.0,58,58,58
1022,14.0,45,45,45
1023,14.0,45,45,45
1024,14.0,45,45,45
1025,14.0,43,6,6
1026,14.0,17,36,20
1027,14.0,53,53,53
1028,14.0,45,45,45
1029,14.0,27,27,27
1030,14.0,32,20,32
1031,14.0,53,51,51
1032,14.0,27,27,27
1033,14.0,45,27,27
1034,14.0,27,27,27
1035,14.0,27,27,27
1036,14.0,18,20,18
1037,14.0,45,45,27
1038,15.0,60,60,60
1039,15.0,25,7,25
1040,15.0,15,15,15
1041,15.0,47,47,47
1042,15.0,18,18,18
1043,15.0,15,18,15
1044,15.0,1,1,1
1045,15.0,47,47,47
1046,15.0,25,25,25
1047,15.0,15,15,15
1048,15.0,15,18,15
1049,15.0,15,15,15
1050,15.0,61,61,61
1051,15.0,18,18,18
1052,15.0,15,15,15
1053,15.0,62,62,62
1054,15.0,47,47,47
1055,15.0,60,15,60
1056,15.0,51,51,51
1057,15.0,47,47,47
1058,15.0,32,32,32
1059,15.0,1,1,1
1060,15.0,20,54,20
1061,15.0,18,18,18
1062,15.0,60,60,60
1063,15.0,15,60,60
1064,15.0,33,33,33
1065,15.0,15,15,15
1066,15.0,60,60,60
1067,15.0,60,60,60
1068,15.0,15,15,15
1069,15.0,47,47,47
1070,15.0,47,47,47
1071,15.0,62,62,62
1072,15.0,15,15,15
1073,15.0,33,33,33
1074,15.0,15,15,15
1075,15.0,32,32,32
1076,15.0,18,18,18
1077,15.0,1,1,1
1078,15.0,33,33,33
1079,15.0,15,15,15
1080,15.0,33,33,33
1081,15.0,47,47,47
1082,15.0,18,18,18
1083,15.0,60,60,60
1084,15.0,33,33,1
1085,15.0,15,15,15
1086,15.0,16,16,16
1087,15.0,47,47,47
1088,15.0,47,47,47
1089,15.0,47,47,47
1090,15.0,15,15,15
1091,15.0,60,60,60
1092,15.0,32,32,32
1093,15.0,15,15,15
1094,15.0,47,15,15
1095,15.0,15,18,15
1096,15.0,15,18,18
1097,15.0,15,15,15
1098,15.0,60,60,60
1099,15.0,3,3,3
1100,15.0,15,15,15
1101,15.0,60,60,60
1102,15.0,15,15,15
1103,15.0,57,7,7
1104,15.0,60,60,60
1105,15.0,15,15,15
1106,15.0,47,47,47
1107,15.0,15,15,15
1108,15.0,15,15,15
1109,15.0,15,15,15
1110,15.0,15,15,15
1111,15.0,15,15,15
1112,15.0,37,37,37
1113,15.0,47,47,47
1114,15.0,60,60,60
1115,15.0,15,15,15
1116,15.0,15,15,15
1117,15.0,15,15,15
1118,15.0,60,60,60
1119,15.0,60,60,60
1120,15.0,3,3,3
1121,15.0,32,32,32
1122,15.0,15,15,15
1123,15.0,47,47,47
1124,15.0,15,18,15
1125,15.0,15,15,15
1126,15.0,60,60,60
1127,15.0,15,18,15
1128,15.0,15,18,15
1129,15.0,16,16,16
1130,15.0,15,15,15
1131,15.0,15,18,15
1132,15.0,44,44,44
1133,15.0,51,51,51
1134,15.0,1,1,47
1135,15.0,15,18,15
1136,16.0,16,16,16
1137,16.0,16,16,16
1138,16.0,16,16,16
1139,16.0,16,16,16
1140,16.0,16,16,16
1141,16.0,16,16,16
1142,16.0,16,16,16
1143,16.0,16,16,16
1144,16.0,16,16,16
1145,16.0,35,35,35
1146,16.0,16,16,16
